,Number,Description,Old_length,Section,Seifim,Length,Sefaria
258,"סימן  רנ""ט","דין אם מותר לשנות צדקה, והנהגת הגבאי עם הצדקה, והממונה עליה",0,YD,ובו ? סעיפים,6,6
259,"סימן ר""ס",מצוות עשה למול את בנו,0,YD,ובו ? סעיפים,1,1
260,"סימן  רס""א",דין אם לא מל האב את בנו,0,YD,ובו ? סעיפים,1,1
261,"סימן  רס""ב","זמן מילה לבריא, לחולה, ולאנדרוגינוס",0,YD,ובו ? סעיפים,7,7
262,"סימן  רס""ג","ילד שהוא אדום או ירוק, ומי שבניו מתים מחמת מילה",0,YD,ובו ? סעיפים,5,5
263,"סימן  רס""ד","מי ראוי למול, ובמה מלין, וכיצד מלין",0,YD,ובו ? סעיפים,6,6
264,"סימן  רס""ה","סדר ברכת המילה, ודין מילה ביום התענית",0,YD,ובו ? סעיפים,13,13
265,"סימן  רס""ו",איזה מילה דוחה שבת ויום טוב,0,YD,ובו ? סעיפים,14,14
266,"סימן  רס""ז","הלוקח עבד כנעני אסור לקיימו ערל, וטבילתו וברכתו ומילתו, וכל דיני עבד ושפחה",0,YD,ובו ? סעיפים,85,85
267,"סימן  רס""ח","כיצד מגיירין הגר והגיורת, ודיני קדושת הגר",0,YD,ובו ? סעיפים,12,12
268,"סימן  רס""ט","איסור עריות בגרים, ודינן לענין עדות וחליצה",0,YD,ובו ? סעיפים,11,11
269,"סימן  ע""ר",שכר מצות כתיבת ספר תורה,0,YD,ובו ? סעיפים,2,2
270,"סימן  רע""א","העור שנכתבה עליו ושרטוטה, ודין הדיו",0,YD,ובו ? סעיפים,7,7
271,"סימן  ער""ב",דין רוחב הדפין,0,YD,ובו ? סעיפים,4,4
272,"סימן  רע""ג","שיעור הגליון, ורווח בין שיטה לשיטה ובין דף לדף",0,YD,ובו ? סעיפים,6,6
273,"סימן  רע""ד","שצריך לכתוב אותה לשמה, ודין תיקון האותיות וזיונן",0,YD,ובו ? סעיפים,7,7
274,"סימן  ער""ה",צורת פרשה פתוחה וסתומה וצורת השירה,0,YD,ובו ? סעיפים,6,6
275,"סימן  רע""ו","דין תליית הדילוג, ודין הטועה בכתיבת השם",0,YD,ובו ? סעיפים,13,13
276,"סימן  רע""ז",שלא להפוך היריעה על פניה,0,YD,ובו ? סעיפים,1,1
277,"סימן  רע""ח",דין תפירת ספר תורה,0,YD,ובו ? סעיפים,4,4
278,"סימן  רע""ט",דיני הגהת ספר תורה ושלא ישהנו מוטעה,0,YD,ובו ? סעיפים,5,5
279,"סימן  ר""פ",נקרעה היריעה לאחר תפירתה,0,YD,ובו ? סעיפים,2,2
280,"סימן  רפ""א","מי כשר לכתיבת ספר תורה, ואם אמר הסופר שלא כתב האזכרות לשמן",0,YD,ובו ? סעיפים,5,5
281,"סימן  רפ""ב","לנהוג כבוד בספר תורה, ודין תשמישיה",0,YD,ובו ? סעיפים,19,19
282,"סימן  רפ""ג",שיכול לדבק תורה נביאים וכתובים יחד,0,YD,ובו ? סעיפים,5,5
283,"סימן  רפ""ד",שלא לכתוב בלא שרטוט,0,YD,ובו ? סעיפים,2,2
284,"סימן  רפ""ה",שכר מצות מזוזה,2,YD,ובו ב' סעיפים,2,2
285,"סימן  רפ""ו",מקומות החייבים במזוזה,23,YD,"ובו כ""ג סעיפים",23,23
286,"סימן  רפ""ז",איזה פתח חייב במזוזה,2,YD,ובו ב' סעיפים,2,2
287,"סימן  רפ""ח",במה והיאך נכתבת,15,YD,"ובו ט""ו סעיפים",15,15
288,"סימן  רפ""ט",מקום קביעותה וכיצד נקבעת וברכתה,6,YD,ובו ו' סעיפים,6,6
289,"סימן  ר""צ",שלא לכתוב אותה על גיליון ספר תורה,1,YD,ובו סעיף אחד,1,1
290,"סימן  רצ""א",מזוזה מתי נבדקת ומי חייב בה,3,YD,ובו ג' סעיפים,3,3
291,"סימן  רצ""ב",כמה דינים משלוח הקן,13,YD,ובו יג סעיפים,13,13
292,"סימן  רצ""ג",דיני חדש ומתי נוהג,0,YD,ובו ? סעיפים,5,5
293,"סימן  רצ""ד","דיני ערלה, באיזה מקום נוהגת ובשל מי",0,YD,ובו ? סעיפים,28,28
294,"סימן  רצ""ה",דיני הרכבת האילן,0,YD,ובו ? סעיפים,7,7
295,"סימן  רצ""ו",דיני כלאי הכרם וכלאי זרעים,0,YD,ובו ? סעיפים,69,69
296,"סימן  רצ""ז",דיני כלאי זרעים ופרטיהם,0,YD,ובו ? סעיפים,56,57
298,"סימן  רצ""ח",דברים האסורים משום כלאי בגדים,0,YD,ובו ? סעיפים,2,2
299,"סימן  רצ""ט",באיזו מינים נוהג בהם כלאים,0,YD,ובו ? סעיפים,2,2
300,סימן ש',איזו כלאים דאורייתא ואיזו דרבנן,0,YD,ובו ? סעיפים,7,7
301,"סימן  ש""א","אם מותר להציע כלאים תחתיו, ודין מרדעת ותכריכים",0,YD,ובו ? סעיפים,15,15
302,"סימן  ש""ב",דין בגד שאבד בו כלאים,0,YD,ובו ? סעיפים,2,2
303,"סימן  ש""ג",לפשוט כלאים מחבירו אפילו בשוק,0,YD,ובו ? סעיפים,2,2
304,"סימן ד""ש",כלאי בגדים מותר לעשותן ולקיימן,0,YD,ובו ? סעיפים,1,1
305,"סימן  ש""ה","מי חייב בפדיון בכור, ומתי ראוי לפדיון, וכל דיניו",0,YD,ובו ? סעיפים,31,31
306,"סימן  ש""ו",דין בכור בהמה טהורה באיזה זמן ובאיזה מקום נוהג,0,YD,ובו ? סעיפים,12,12
307,"סימן  ש""ז","דין הבכור אחר שחיטה, ושצריך להשהותו ולגדלו עד שיפול בו מום",0,YD,ובו ? סעיפים,3,3
308,"סימן  ש""ח",איסור עבודת הבכור ואיסור גיזתו,0,YD,ובו ? סעיפים,5,5
309,"סימן  ש""ט",דיני בכור בזמן הזה,0,YD,ובו ? סעיפים,2,2
310,"סימן  ש""י",דין בכור שנשחט שלא על פי חכם,0,YD,ובו ? סעיפים,3,3
311,"סימן  שי""א",דין החשוד למכור הבכור,0,YD,ובו ? סעיפים,1,1
312,"סימן  שי""ב",דין הנוטל שכר לראות בכור,0,YD,ובו ? סעיפים,3,3
313,"סימן  שי""ג",שלא להטיל מום בבכור,0,YD,ובו ? סעיפים,7,7
314,"סימן  שי""ד",מי נאמן על הטלת מום בבכור,0,YD,ובו ? סעיפים,11,11
315,"סימן  שט""ו",דין ספק בכור ויוצא דופן וטומטום ואנדרוגינוס,0,YD,ובו ? סעיפים,7,7
316,"סימן  שט""ז",דין הלוקח בהמה מן הגוי ואינו יודע אם ביכרה,0,YD,ובו ? סעיפים,6,6
317,"סימן  שי""ז",דין בכור שנתערב ומת אחד מהבהמות,0,YD,ובו ? סעיפים,3,3
318,"סימן  שי""ח",כמה ספקות בדיני בכור בהמה,0,YD,ובו ? סעיפים,6,6
319,"סימן  שי""ט",דין חתוך אבר הבכור ויתר דיני בכור,0,YD,ובו ? סעיפים,4,4
320,"סימן  ש""כ","מי הם החייבים בבכור בהמה טהורה, ודיני שותפות גוי",0,YD,ובו ? סעיפים,7,7
321,"סימן  שכ""א","בכור בהמה טמאה במה ובמי ובאיזה מקום נוהג, וכן פדיונו ועריפתו",0,YD,ובו ? סעיפים,23,23
322,"סימן  שכ""ב",הפרש חלה שיש בין חלת ארץ ישראל לחלת חוצה לארץ,0,YD,ובו ? סעיפים,5,5
323,"סימן  שכ""ג","חלה דרבנן היאך ניתנת ונאכלת, ודין תערובתה בחולין",0,YD,ובו ? סעיפים,1,1
324,"סימן  שכ""ד","שיעור חיוב חלה ומינים המצטרפים, ודין פת פטור שנתערב בחיוב",0,YD,ובו ? סעיפים,14,14
325,"סימן  שכ""ה",דין שתי עיסות שאין בהן כשיעור,0,YD,ובו ? סעיפים,2,2
326,"סימן  שכ""ו","אחד שלש שתי עיסות, ואין בשום אחת מהם כשיעור, ונתערבו",0,YD,ובו ? סעיפים,5,5
327,"סימן  שכ""ז",מתי חל על העיסה חיוב חלה,0,YD,ובו ? סעיפים,5,5
328,"סימן  שכ""ח",דין ברכת חלה ומי ראוי להפרישה,0,YD,ובו ? סעיפים,3,3
329,"סימן  שכ""ט",איזה פת חייב בחלה,0,YD,ובו ? סעיפים,10,10
330,"סימן  ש""ל",דין עיסת גוי ושותפין והפקר וכלבים,0,YD,ובו ? סעיפים,9,9
331,"סימן  של""א","דין נתינת תרומות ומעשרות באיזה מקום, וכיצד הכהן מקבלם, ואם הם דאורייתא או דרבנן",0,YD,ובו ? סעיפים,146,146
332,"סימן  של""ב",דין מתנות עניים,0,YD,ובו ? סעיפים,1,1
333,"סימן  של""ג",דיני ראשית הגז,0,YD,ובו ? סעיפים,14,14
334,"סימן  של""ד","היאך נוהגין עם המנודה או המוחרם, ועל מה מנדין, ודין התרתו",0,YD,ובו ? סעיפים,48,48
335,"סימן  של""ה","מתי מבקרין החולה, ואיזה חולים מבקרין, וכיצד מתפללין עליו",0,YD,ובו ? סעיפים,10,10
336,"סימן  של""ו",דין הרופא,3,YD,ובו ג סעיפים,3,3
337,"סימן  של""ז",חולה שמת לו מת,0,YD,ובו ? סעיפים,1,1
338,"סימן  של""ח",וידוי החולה וכיצד אומרים לו,0,YD,ובו ? סעיפים,2,2
339,"סימן  של""ט",דיני הגוסס ואמירת צידוק הדין,0,YD,ובו ? סעיפים,5,5
340,"סימן  ש""מ","עניין הקריעה, שיעורה ומקומה, ועל מי קורעין ובאיזה זמן קורעין",0,YD,ובו ? סעיפים,39,40
341,"סימן  שמ""א","מי שמתו מוטל לפניו בשבת או ביום טוב, ודיני האונן",0,YD,ובו ? סעיפים,6,6
342,"סימן  שמ""ב",מי שהכין צרכי חופתו ומת לו מת שחייב עליו אבילות,0,YD,ובו ? סעיפים,1,1
343,"סימן  שמ""ג",מצות הלוויית המת,0,YD,ובו ? סעיפים,2,2
344,"סימן  שד""מ","חיוב ההספד וגודל שכרו, וכיצד ועל מי מספידין",0,YD,ובו ? סעיפים,20,20
345,"סימן  שמ""ה","דין המאבד עצמו לדעת, ומנודה, והפורשין מן הצבור",0,YD,ובו ? סעיפים,8,8
346,"סימן  שמ""ו",מי שקרובו צלוב בעיר לא ידור בה,0,YD,ובו ? סעיפים,1,1
347,"סימן  שמ""ז",שלא לעורר על מתו שלשים יום לפני הרגל,0,YD,ובו ? סעיפים,3,3
348,"סימן  שמ""ח","דין שרפה על המת, והאומר: אל תקברוני",0,YD,ובו ? סעיפים,3,3
349,"סימן  שמ""ט",איסור הנאה במת ובתכריכיו,0,YD,ובו ? סעיפים,4,4
350,"סימן  ש""נ",דברים העשויים למת ואין בו משום דרכי האמורי,0,YD,ובו ? סעיפים,1,1
351,"סימן  שנ""א",דין כלאים וציצית למת,0,YD,ובו ? סעיפים,2,2
352,"סימן  שנ""ב","באיזו בגדים קוברין, ואין האיש מלביש את האשה",0,YD,ובו ? סעיפים,4,4
353,"סימן  שנ""ג","היאך מוציאין מת גדול או קטן, ובאיזו מטה",0,YD,ובו ? סעיפים,7,7
354,"סימן  שנ""ד","עיר שיש בה שני מתים, איזה קודם",0,YD,ובו ? סעיפים,1,1
355,"סימן  שנ""ה",דברים שמשנים באשה יותר מבאיש,0,YD,ובו ? סעיפים,1,1
356,"סימן  שנ""ו",אם גבו לצורך המת והותירו,0,YD,ובו ? סעיפים,1,1
357,"סימן  שנ""ז","איסור הלנת המת, ומתי מותר להלינו",0,YD,ובו ? סעיפים,2,2
358,"סימן  שנ""ח",נושאי המטה פטורים מקריאת שמע ומתפילה,0,YD,ובו ? סעיפים,3,3
359,"סימן  שנ""ט",מקום יציאת המת והאבלים,0,YD,ובו ? סעיפים,2,2
360,"סימן  ש""ס","מת וכלה ומילה, איזה קודם",0,YD,ובו ? סעיפים,1,1
361,"סימן  שס""א",הלוויית המת ובטול תלמוד תורה להלווייתו,0,YD,ובו ? סעיפים,5,5
362,"סימן  שס""ב","לקבור בקרקע, ואם קוברים שני מתים יחד",0,YD,ובו ? סעיפים,6,6
363,"סימן  שס""ג",איסור פינוי המת והעצמות ממקומן,0,YD,ובו ? סעיפים,7,7
364,"סימן  שס""ד",איסור הנאה של קבר והאבן והבנין,0,YD,ובו ? סעיפים,7,7
365,"סימן  שס""ה","החופר קבר פטור מקריאת שמע, וכמה מרחיקין הקברות מהעיר",0,YD,ובו ? סעיפים,2,2
366,"סימן  שס""ו","דין המוכר קבר, ואשה שירשה קבר ממשפחתה",0,YD,ובו ? סעיפים,4,4
367,"סימן  שס""ז","קוברים מתי גויים, ושלא יהלך בבית הקברות בתפילין וציצית",0,YD,ובו ? סעיפים,6,6
368,"סימן  שס""ח",שלא לנהוג קלות ראש בבית הקברות,0,YD,ובו ? סעיפים,3,3
369,"סימן  שס""ט",על איזה טומאה הכהן מוזהר,0,YD,ובו ? סעיפים,1,1
370,"סימן  ש""ע",מי הוא החשוב כמת אף על פי שעודנו חי,0,YD,ובו ? סעיפים,1,1
371,"סימן  שע""א",דין אהל היאך מביא הטומאה,0,YD,ובו ? סעיפים,6,6
372,"סימן  שע""ב","היתר טומאה במקום מצווה, ודין קברי גויים",0,YD,ובו ? סעיפים,2,2
373,"סימן  שע""ג","איזה כהן מוזהר על הטומאה, ולאיזה מתים מטמא, ועד מתי מטמא",0,YD,ובו ? סעיפים,9,9
374,"סימן  שע""ד","טומאת כהן למת מצווה, לנשיא ולרבו, ועל איזה מת מתאבלין",0,YD,ובו ? סעיפים,11,11
375,"סימן  שע""ה","אימתי מתחיל האבילות, ולמי שמפנין מקבר לקבר",0,YD,ובו ? סעיפים,11,11
376,"סימן  שע""ו","מנהג המנחמין, ודין מת שאין לו מנחמים",0,YD,ובו ? סעיפים,4,4
377,"סימן  שע""ז",דין עבדים ושפחות ומנודה שיש להם אבילות,0,YD,ובו ? סעיפים,3,3
378,"סימן  שע""ח",דיני סעודת הבראה לאיש ולאשה,0,YD,ובו ? סעיפים,13,13
379,"סימן  שע""ט",דין ברכת המזון בבית האבל,0,YD,ובו ? סעיפים,5,5
380,"סימן  ש""פ",דברים שהאבל אסור בהם,0,YD,ובו ? סעיפים,25,25
381,"סימן  שפ""א",איסור רחיצה וסיכה לאבל,0,YD,ובו ? סעיפים,6,6
382,"סימן  שפ""ב",איסור נעילת הסנדל לאבל,0,YD,ובו ? סעיפים,5,5
383,"סימן  שפ""ג",איסור תשמיש המטה לאבל,0,YD,ובו ? סעיפים,2,2
384,"סימן  שפ""ד",האבל אסור בתלמוד תורה,0,YD,ובו ? סעיפים,5,5
385,"סימן  שפ""ה",דין שאלת שלום באבל,0,YD,ובו ? סעיפים,3,3
386,"סימן  שפ""ו",עטיפת הראש באבל,0,YD,ובו ? סעיפים,1,1
387,"סימן  שפ""ז",דיני כפיית המטה,0,YD,ובו ? סעיפים,2,2
388,"סימן  שפ""ח",אבל ביום ראשון אסור להניח תפילין,0,YD,ובו ? סעיפים,2,2
389,"סימן  שפ""ט",אבל אסור בכביסת כסותו ודין גיהוץ,0,YD,ובו ? סעיפים,8,8
390,"סימן  ש""צ",דיני גילוח וסריקה באבל,0,YD,ובו ? סעיפים,7,7
391,"סימן  שצ""א",אבל אסור בכל מיני שמחה,0,YD,ובו ? סעיפים,3,3
392,"סימן  שצ""ב",אבל אסור כל שלושים יום לישא אשה,0,YD,ובו ? סעיפים,3,3
393,"סימן  שצ""ג",מתי האבל יכול לצאת מביתו,0,YD,ובו ? סעיפים,4,4
394,"סימן  שצ""ד",שלא להתקשות על המת יותר מדאי,0,YD,ובו ? סעיפים,6,6
395,"סימן  שצ""ה",מקצת יום השבעה והשלשים ככולו,0,YD,ובו ? סעיפים,3,3
396,"סימן  שצ""ו",דין אבל שלא נהג אבלותו כל שבעה,0,YD,ובו ? סעיפים,3,3
397,"סימן  שצ""ז",דיני עדות לנהוג אבילות על פיהם,0,YD,ובו ? סעיפים,2,2
398,"סימן  שצ""ח",אבילות יום ראשון דאורייתא,0,YD,ובו ? סעיפים,1,1
399,"סימן  שצ""ט","דיני אבילות ברגל בראש השנה וי""ט שני של גליות",0,YD,ובו ? סעיפים,14,14
400,סימן ת',דיני אבלות בשבת,0,YD,ובו ? סעיפים,2,2
401,"סימן  ת""א",דברים הנוהגים בחול המועד,0,YD,ובו ? סעיפים,7,7
402,"סימן  ת""ב",דין שמועה קרובה ורחוקה,0,YD,ובו ? סעיפים,12,12
403,"סימן  ת""ג",דיני המלקט עצמות,0,YD,ובו ? סעיפים,10,10
