,Number,Description,Old_length,Section,Seifim,Length,Sefaria
261,"סימן רס""א",זמן הדלקת הנרות לשבת,4,OC,ובו ד' סעיפים,4,4
262,"סימן רס""ב",לקדש השבת בשולחן ערוך ובכסות נקיה,3,OC,ובו ג' סעיפים,3,3
263,"סימן רס""ג","מי ומי המדליקין, ואם טעו ביום המעונן",17,OC,"ובו י""ז סעיפים",17,17
264,"סימן רס""ד",דיני הפתילה והשמן,10,OC,ובו י' סעיפים,10,10
265,"סימן רס""ה",דין כלים הניתנים תחת הנר,4,OC,ובו ד' סעיפים,4,4
266,"סימן רס""ו",דין מי שהחשיך לו בדרך,13,OC,"ובו י""ג סעיפים",13,13
267,"סימן רס""ז",דיני התפילה בערב שבת,3,OC,ובו ג' סעיפים,3,3
268,"סימן רס""ח",דין הטועה בתפילת השבת,13,OC,"ובו י""ג סעיפים",13,13
269,"סימן רס""ח",דין הקידוש בבית הכנסת,1,OC,ובו סעיף אחד,1,1
270,"סימן ע""ר","לומר משנת ""במה מדליקין""",2,OC,ובו ב' סעיפים,2,2
271,"סימן רע""א",דיני קידוש על היין,17,OC,"ובו י""ז סעיפים",17,17
272,"סימן רע""ב",על איזה יין מקדשים,10,OC,ובו י' סעיפים,10,10
273,"סימן רע""ג",שיהיה הקידוש במקום סעודה,7,OC,ובו ז' סעיפים,7,7
274,"סימן רע""ד",דיני בציעת הפת בשבת,4,OC,ובו ד' סעיפים,4,4
275,"סימן ער""ה",דברים האסורים לעשות לאור הנר בשבת,12,OC,"ובו י""ב סעיפים",12,12
276,"סימן רע""ו",דיני נר שהדליק אינו יהודי בשבת,5,OC,ובו ה' סעיפים,5,5
277,"סימן רע""ז",שלא לגרום כיבוי הנר,5,OC,ובו ה' סעיפים,5,5
278,"סימן רע""ח",שיכול לכבות הנר בשביל החולה,1,OC,ובו סעיף אחד,1,1
279,"סימן רע""ט",דיני טלטול הנר בשבת,7,OC,ובו ז' סעיפים,7,7
280,"סימן ר""פ",תשמיש המיטה בשבת,2,OC,ובו ב' סעיפים,2,2
281,"סימן רפ""א","שלא יכרע ב""ולך אנחנו מודים""",1,OC,ובו סעיף אחד,1,1
282,"סימן רפ""ב",קריאת התורה והמפטיר בשבת,7,OC,ובו ז' סעיפים,7,7
283,"סימן רפ""ג",למה אין מוציאין שני ספרי תורה בשבת,1,OC,ובו סעיף אחד,1,1
284,"סימן רפ""ד",דיני הפטרה וברכותיה,7,OC,ובו ז' סעיפים,7,7
285,"סימן רפ""ה",לקרוא הפרשה שנים מקרא ואחד תרגום,7,OC,ובו ז' סעיפים,7,7
286,"סימן רפ""ו",דיני תפילת מוסף בשבת,5,OC,ובו ה' סעיפים,5,5
287,"סימן רפ""ז",ניחום אבלים וביקור חולים בשבת,1,OC,ובו סעיף אחד,1,1
288,"סימן רפ""ח",דין תענית ודין תענית חלום בשבת,10,OC,ובו י' סעיפים,10,10
289,"סימן רפ""ט",סדר סעודת שחרית של שבת,2,OC,ובו ב' סעיפים,2,2
290,"סימן ר""צ",בשבת ישלים מאה ברכות בפירות,2,OC,ובו ב' סעיפים,2,2
291,"סימן רצ""א",דין שלוש סעודות,6,OC,ובו ו' סעיפים,6,6
292,"סימן רצ""ב",דין תפילת מנחה בשבת,2,OC,ובו ב' סעיפים,2,2
293,"סימן רצ""ג",דיני ערבית במוצאי שבת,3,OC,ובו ג' סעיפים,3,3
294,"סימן רצ""ד",דיני הבדלה בתפילה,5,OC,ובו ה' סעיפים,5,5
295,"סימן רצ""ה",הבדלה שעושה שליח ציבור,1,OC,ובו סעיף אחד,1,1
296,"סימן רצ""ו",דיני הבדלה על היין,8,OC,ובו ח' סעיפים,8,8
297,"סימן רצ""ז",דיני בשמים להבדלה,5,OC,ובו ה' סעיפים,5,5
298,"סימן רצ""ח",דיני נר הבדלה,15,OC,"ובו ט""ו סעיפים",15,15
299,"סימן רצ""ט",שלא לאכול ולא לעשות שום מלאכה קודם שיבדיל,10,OC,ובו י' סעיפים,10,10
300,סימן ש',שיסדר שולחנו במוצאי שבת,1,OC,ובו סעיף אחד,1,1
301,"סימן ש""א","באיזה כלים מותר לצאת בשבת, ואיזה מהם אסורים",51,OC,"ובו נ""א סעיפים",51,51
302,"סימן ש""ב",דיני נקוי וקיפול הבגדים בשבת,13,OC,"ובו י""ג סעיפים",13,13
303,"סימן ש""ג",דיני תכשיטי אשה,27,OC,"ובו כ""ז סעיפים",27,27
304,"סימן ד""ש",על איזה עבד מצווה על שביתתו,3,OC,ובו ג' סעיפים,3,3
305,"סימן ש""ה",במה בהמה יוצאת בשבת,23,OC,"ובו כ""ג סעיפים",23,23
306,"סימן ש""ו",באיזה חפצים מותר לדבר בשבת,14,OC,"ובו י""ד סעיפים",14,14
307,"סימן ש""ז",דיני שבת התלוים בדיבור,22,OC,"ובו כ""ב סעיפים",22,22
308,"סימן ש""ח",דברים המותרים והאסורים לטלטל בשבת,52,OC,"ובו נ""ב סעיפים",52,52
309,"סימן ש""ט","טלטול על ידי דבר אחר, אם מותר בשבת",5,OC,ובו ה' סעיפים,5,5
310,"סימן ש""י",דיני מוקצה בשבת,9,OC,ובו ט' סעיפים,9,9
311,"סימן שי""א","דיני מת בשבת, ושאר טלטול מן הצד",9,OC,ובו ט' סעיפים,9,9
312,"סימן שי""ב","הנצרך לנקביו, במה מקנח בשבת",10,OC,ובו י' סעיפים,10,10
313,"סימן שי""ג",טלטול דלת וחלון והמנעול בשבת,10,OC,ובו י' סעיפים,10,10
314,"סימן שי""ד",דברים האסורים משום בנין וסתירה בשבת,12,OC,"ובו י""ב סעיפים",12,12
315,"סימן שט""ו",דברים האסורים משום אוהל בשבת,13,OC,"ובו י""ג סעיפים",13,13
316,"סימן שט""ז",צידה האסורה ומותרת בשבת,12,OC,"ובו י""ב סעיפים",12,12
317,"סימן שי""ז",דין קשירה ועניבה בשבת,7,OC,ובו ז' סעיפים,7,7
318,"סימן שי""ח",דין המבשל בשבת,19,OC,"ובו י""ט סעיפים",19,19
319,"סימן שי""ט",דין הבורר בשבת,17,OC,"ובו י""ז סעיפים",17,17
320,"סימן ש""כ",דיני סחיטה בשבת,20,OC,ובו כ' סעיפים,20,20
321,"סימן שכ""א","דיני תולש בשבת, ודין טוחן, ודיני תיקוני מאכל או מעבד ולש",19,OC,"ובו י""ט סעיפים",19,19
322,"סימן שכ""ב",דין נולד בשבת,6,OC,ובו ו' סעיפים,6,6
323,"סימן שכ""ג","דיני השאלה וקנין צרכי שבת, והדחת הכלים ותיקונן וטבילתן בשבת",10,OC,ובו י' סעיפים,10,10
324,"סימן שכ""ד",דיני הכנת מאכל לבהמה לשבת,15,OC,"ובו ט""ו סעיפים",15,15
325,"סימן שכ""ה",אינו יהודי שעשה מלאכה בעד ישראל,16,OC,"ובו ט""ז סעיפים",16,16
326,"סימן שכ""ו",דיני רחיצה בשבת,13,OC,"ובו י""ג סעיפים",13,13
327,"סימן שכ""ז",דיני סיכה בשבת,4,OC,ובו ד' סעיפים,4,4
328,"סימן שכ""ח",דין חולה בשבת,49,OC,"ובו מ""ט סעיפים",49,49
329,"סימן שכ""ט",על מי מחללין שבת,9,OC,ובו ט' סעיפים,9,9
330,"סימן ש""ל",דיני יולדת בשבת,11,OC,"ובו י""א סעיפים",11,11
331,"סימן של""א",דין מילה בשבת,10,OC,ובו י' סעיפים,10,10
332,"סימן של""ב",שלא ליַלד הבהמה בשבת,4,OC,ובו ד' סעיפים,4,4
333,"סימן של""ג",שלא לפנות אוצר בשבת,3,OC,ובו ג' סעיפים,3,3
334,"סימן של""ד",דיני דליקה בשבת,27,OC,"ובו כ""ז סעיפים",27,27
335,"סימן של""ה",דין חבית שנשברה,5,OC,ובו ה' סעיפים,5,5
336,"סימן של""ו","אם מותר לילך על גבי העשבים, וכן באילן",13,OC,"ובו י""ג סעיפים",13,13
337,"סימן של""ז","דין כיבוד הבית, ודבר שאינו מתכווין",4,OC,ובו ד' סעיפים,4,4
338,"סימן של""ח",דברים האסורים בשבת משום השמעת קול,8,OC,ובו ח' סעיפים,8,8
339,"סימן של""ט",כמה דינים פרטיים הנוהגין בשבת,7,OC,ובו ז' סעיפים,7,7
340,"סימן ש""מ","כמה דינין מדברים האסורים בשבת, כעין תולדות מאבות",14,OC,"ובו י""ד סעיפים",14,14
341,"סימן שמ""א",היתר נדרים בשבת,3,OC,ובו ג' סעיפים,3,3
342,"סימן שמ""ב","בין השמשות מותר לעשות דברים שאסרו חכמינו ז""ל משום גזירה",1,OC,ובו סעיף אחד,1,1
343,"סימן שמ""ג",דיני קטן בשבת,1,OC,ובו סעיף אחד,1,1
344,"סימן שד""מ",דין ההולך במדבר בשבת,2,OC,ובו ב' סעיפים,2,2
345,"סימן שמ""ה",דין ארבע רשויות בשבת,19,OC,"ובו י""ט סעיפים",19,19
346,"סימן שמ""ו",דיני עירובין מן התורה,3,OC,ובו ג' סעיפים,3,3
347,"סימן שמ""ז",על איזה הוצאות חייב מן התורה,1,OC,ובו סעיף אחד,1,1
348,"סימן שמ""ח",דין המושיט מרשות לרשות,1,OC,ובו סעיף אחד,1,1
349,"סימן שמ""ט",דין ארבע אמות ברשות הרבים,5,OC,ובו ה' הסעיפים,5,5
350,"סימן ש""נ",דין המוציא ראשו ורובו מרשות לרשות,3,OC,ובו ג' סעיפים,3,3
351,"סימן שנ""א",דין המושיט ידו לצינור ברשות הרבים לשתות,1,OC,ובו סעיף אחד,1,1
352,"סימן שנ""ב","הקורא בספר, ונתגלגל מרשות לרשות",2,OC,ובו ב' בסעיפים,2,2
353,"סימן שנ""ג",דיני זיזין ברשות הרבים,3,OC,ובו ג' סעיפים,3,3
354,"סימן שנ""ד",דיני בור ואשפה ברשות הרבים,2,OC,ובו ב' סעיפים,2,2
355,"סימן שנ""ה",דיני גזוזטרא ובית כסא,5,OC,ובו ה' סעיפים,5,5
356,"סימן שנ""ו",דין אמת המים העוברת בחצר,2,OC,ובו ב' סעיפים,2,2
357,"סימן שנ""ז",דיני חצר פחות מארבע אמות וביב,3,OC,ובו ג' סעיפים,3,3
358,"סימן שנ""ח","דין איזה מקומות נקראים ""מוקפים לדירה""",14,OC,"ובו י""ד סעיפים",14,14
359,"סימן שנ""ט",דין רחבה שאחורי הבתים,1,OC,ובו סעיף אחד,1,1
360,"סימן ש""ס",דין היקף מחיצות לשבת,3,OC,ובו ג' סעיפים,3,3
361,"סימן שס""א",דין גג הסמוך לרשות הרבים,2,OC,ובו ב' סעיפים,2,2
362,"סימן שס""ב",איזה מחיצה קרויה מחיצה לטלטל,12,OC,"ובו י""ב סעיפים",12,12
363,"סימן שס""ג",דיני מבוי ולחי,36,OC,"ובו ל""ו סעיפים",36,36
364,"סימן שס""ד",דין מבוי המפולש ועשוי כנדל,5,OC,ובו ה' סעיפים,5,5
365,"סימן שס""ה",דין מבוי שנפרץ,8,OC,ובו ח' סעיפים,8,8
366,"סימן שס""ו",דין עירוב לחצר שהרבה בני אדם דרים בו,15,OC,"ובו ט""ו סעיפים",15,15
367,"סימן שס""ז",אם אשה יכולה לערב,1,OC,ובו סעיף אחד,1,1
368,"סימן שס""ח",אם אחר שעירבו נתקלקל העירוב,5,OC,ובו ה' סעיפים,5,5
369,"סימן שס""ט",באיזה אופן מקנין העירוב,1,OC,ובו סעיף אחד,1,1
370,"סימן ש""ע",דיני שיתוף בעירוב,8,OC,ובו ח' סעיפים,8,8
371,"סימן שע""א",כשאחד מבני חצר נפרד משם או מת,6,OC,ובו ו' סעיפים,6,6
372,"סימן שע""ב",דיני שותפי הדירות לעירוב,19,OC,"ובו י""ט סעיפים",19,19
373,"סימן שע""ג",דין שתי גזוזטראות בשתי עליות,1,OC,ובו סעיף אחד,1,1
374,"סימן שע""ד",נסתם בשבת פתח או חלון במקום שעירב בו,4,OC,ובו ד' סעיפים,4,4
375,"סימן שע""ה",מה הם הדברים השרויים בחצר שאינם אוסרים,4,OC,ובו ד' סעיפים,4,4
376,"סימן שע""ו",בור ובאר שבין שתי חצרות,4,OC,ובו ד' סעיפים,4,4
377,"סימן שע""ז",דין שתי עליות זו כנגד זו הפתוחות לחצר,1,OC,ובו סעיף אחד,1,1
378,"סימן שע""ח",דין חצרות הפתוחות זו לזו,5,OC,ובו ה' סעיפים,5,5
379,"סימן שע""ט",דין חצרות ובתים ביניהם,2,OC,ובו ב' סעיפים,2,2
380,"סימן ש""פ",דיני ביטול רשות,4,OC,ובו ד' סעיפים,4,4
381,"סימן שפ""א",דיני המבטל רשותו ועבר והוציא,7,OC,ובו ז' סעיפים,7,7
382,"סימן שפ""ב",אם דירת אינו יהודי מעכבת בעירובו,20,OC,ובו כ' סעיפים,20,20
383,"סימן שפ""ג",כשאין האינו יהודי בבית – אינו מעכב,1,OC,ובו סעיף אחד,1,1
384,"סימן שפ""ד",אינו יהודי אכסנאי אם מעכב,2,OC,ובו ב' סעיפים,2,2
385,"סימן שפ""ה",דין צדוקי ומומר בעירוב,4,OC,ובו ד' סעיפים,4,4
386,"סימן שפ""ו",דיני שיתוף בעירוב,9,OC,ובו ט' סעיפים,9,9
387,"סימן שפ""ז",שותפין במבוי צריכין לערב בחצרות,1,OC,ובו סעיף אחד,1,1
388,"סימן שפ""ח","דין אם לא עירבו החצרות יחד, וגם לא נשתתפו במבוי",1,OC,ובו סעיף אחד,1,1
389,"סימן שפ""ט",אינו יהודי שיש לו חלון פתוח למבוי,1,OC,ובו סעיף אחד,1,1
390,"סימן ש""צ","מבוי שצדו אחד אינו יהודי, וצדו אחד ישראל",2,OC,ובו ב' סעיפים,2,2
391,"סימן שצ""א",דין ביטול רשות לאותן ששכחו לערב,2,OC,ובו ב' סעיפים,2,2
392,"סימן שצ""ב",דיני עירובין לעיר,8,OC,ובו ח' סעיפים,8,8
393,"סימן שצ""ג","דין עירוב ביום טוב שחל בערב שבת, ודין בין השמשות לערב",3,OC,ובו ג' סעיפים,3,3
394,"סימן שצ""ד",ספק עירוב מה דינו,3,OC,ובו ג' סעיפים,3,3
395,"סימן שצ""ה",דיני ברכת עירוב,1,OC,ובו סעיף אחד,1,1
396,"סימן שצ""ו",דין ארבע אמות שיש לכל אדם בשבת,2,OC,ובו ב' סעיפים,2,2
397,"סימן שצ""ז","דין שביתת היחיד וכליו, ומהלך אלפים אמה",18,OC,"ובו י""ח סעיפים",18,18
398,"סימן שצ""ח",דין היאך מודדין אלפים אמה,11,OC,"ובו י""א סעיפים",11,11
399,"סימן שצ""ט","במה מודדין התחומין, ומקום המדידה, ומי הוא המודד",11,OC,"ובו י""א סעיפים",11,11
400,סימן ת',"מי שישב לו בדרך לנוח, ולא ידע אם הוא בתחום אם לאו",1,OC,ובו סעיף אחד,1,1
401,"סימן ת""א",מי שישן בדרך וחשכה לו – קונה אלפים אמה לכל רוח,1,OC,ובו סעיף אחד,1,1
402,"סימן ת""ב",דין חריץ מים בין שני תחומין,1,OC,ובו סעיף אחד,1,1
403,"סימן ת""ג",דין בקעה שהקיפוה נכרים,1,OC,ובו סעיף אחד,1,1
404,"סימן ת""ד",דין אם יש תחומין למעלה מעשרה טפחים,1,OC,ובו סעיף אחד,1,1
405,"סימן ת""ה",דין היוצא חוץ לתחום,9,OC,ובו ט' סעיפים,9,9
406,"סימן ת""ו",מי שיצא חוץ לתחום שלא לדעת,1,OC,ובו סעיף אחד,1,1
407,"סימן ת""ז",מי הם שיכולין לילך חוץ לתחום,3,OC,ובו ג' סעיפים,3,3
408,"סימן ת""ח",דין הנחת העירוב וקניית השביתה,4,OC,ובו ד' סעיפים,4,4
409,"סימן ת""ט",דין מקום נתינת העירוב,13,OC,"ובו י""ג סעיפים",13,13
410,"סימן ת""י",דין המחזיק בדרך כדי לקנות שביתה,3,OC,ובו ג' סעיפים,3,3
411,"סימן תי""א","מי שהיה ביתו במזרח, ונתן העירוב במערב",1,OC,ובו סעיף אחד,1,1
412,"סימן תי""ב",דין החולק עירובו,1,OC,ובו סעיף אחד,1,1
413,"סימן תי""ג",דין המערב לרבים,1,OC,ובו סעיף אחד,1,1
414,"סימן תי""ד",שלא לערב אלא לדעתו,2,OC,ובו ב' סעיפים,2,2
415,"סימן תט""ו",שלא לערב עירובי תחומין אלא לדבר מצוה,4,OC,ובו ד' סעיפים,4,4
416,"סימן תט""ז",דין עירובי תחומין ביום טוב שחל להיות סמוך לשבת,5,OC,ובו ה' סעיפים,5,5
417,"סימן תי""ז",הלכות ראש חודש,1,OC,ובו סעיף אחד,1,1
418,"סימן תי""ח",דין תענית בראש חודש,5,OC,ובו ה' סעיפים,5,5
419,"סימן תי""ט",מצוה הרבות בסעודת ראש חודש,1,OC,ובו סעיף אחד,1,1
420,"סימן ת""כ",אם הנשים רשאות לקונן בראש חודש,2,OC,ובו ב' סעיפים,2,2
421,"סימן תכ""א","קריאת ""ובראשי חדשיכם"" בפסוקי דזמרה",1,OC,ובו סעיף אחד,1,1
422,"סימן תכ""ב",סדר התפילה והלל בראש חודש,7,OC,ובו ז' סעיפים,7,7
423,"סימן תכ""ג",סדר קריאת התורה בראש חודש,4,OC,ובו ד' סעיפים,4,4
424,"סימן תכ""ד","דין הזכרת ""יעלה ויבוא"" בברכת המזון",1,OC,ובו סעיף אחד,1,1
425,"סימן תכ""ה",דיני ראש חודש שחל להיות בשבת,3,OC,ובו ג' סעיפים,3,3
426,"סימן תכ""ו",דין ברכת הלבנה וזמנה,4,OC,ובו ד' סעיפים,4,4
427,"סימן תכ""ז","כשראש חודש שני ימים, היאך כותבין בשטרות",1,OC,ובו סעיף אחד,1,1
428,"סימן תכ""ח",סדר קביעת המועדים וקריאת הפרשיות,8,OC,ובו ח' סעיפים,8,8
429,"סימן תכ""ט",שאין נופלין על פניהם בכל חודש ניסן,2,OC,ובו ב' סעיפים,2,2
430,"סימן ת""ל","שבת שלפני הפסח קורין אותו ""שבת הגדול""",1,OC,ובו סעיף אחד,1,1
431,"סימן תל""א",זמן בדיקת החמץ,2,OC,ובו ב' סעיפים,2,2
432,"סימן תל""ב",דין ברכת בדיקת חמץ,2,OC,ובו ב' סעיפים,2,2
433,"סימן תל""ג",בדיקת חמץ,11,OC,"ובו י""א סעיפים",11,11
434,"סימן תל""ד",דינים הנוהגים תכף אחר הבדיקה,4,OC,ובו ד' סעיפים,4,4
435,"סימן תל""ה",דין מי שלא בדק בליל ארבעה עשר,1,OC,ובו סעיף אחד,1,1
436,"סימן תל""ו",דין המפרש בים והיוצא בשיירא,3,OC,ובו ג' סעיפים,3,3
437,"סימן תל""ז","המשכיר בית לחברו, על מי חל חובת ביעור",4,OC,ובו ד' סעיפים,4,4
438,"סימן תל""ח",עכבר שנכנס למקום בדוק וכיכר בפיו,2,OC,ובו ב' סעיפים,2,2
439,"סימן תל""ט",דין מי שבדק ולא מצא מספר כיכרות שהניח,4,OC,ובו ד' סעיפים,4,4
440,"סימן ת""מ",דין חמצו של אינו יהודי שהופקד אצל ישראל,4,OC,ובו ד' סעיפים,4,4
441,"סימן תמ""א",דיני מי שהלווה על חמץ,2,OC,ובו ב' סעיפים,2,2
442,"סימן תמ""ב",דין תערובת חמץ,11,OC,"ובו י""א סעיפים",11,11
443,"סימן תמ""ג",דין חמץ בערב פסח לאחר שש,3,OC,ובו ג' סעיפים,3,3
444,"סימן תמ""ד",דין ערב פסח שחל להיות בשבת,8,OC,ובו ח' סעיפים,8,8
445,"סימן תמ""ה",דין ביעור חמץ,3,OC,ובו ג' סעיפים,3,3
446,"סימן תמ""ו",דין מי שמוצא חמץ בתוך המועד,4,OC,ובו ד' סעיפים,4,4
447,"סימן תמ""ז",דיני תערובת חמץ בתוך הפסח,12,OC,"ובו י""ב סעיפים",12,12
448,"סימן תמ""ח",דין חמץ שעבר עליו הפסח,7,OC,ובו ז' סעיפים,7,7
449,"סימן תמ""ט",דין חמץ שנמצא בחנות ישראל והפועלים אינם יהודים או בהפך,1,OC,ובו סעיף אחד,1,1
450,"סימן ת""נ",דין ישראל ואינו יהודי שיש להם שותפות,7,OC,ובו ז' סעיפים,7,7
451,"סימן תנ""א",דיני הגעלת כלים,27,OC,"ובו כ""ז סעיפים",27,27
452,"סימן תנ""ב",דין זמן הגעלת הכלים,7,OC,ובו ז' סעיפים,7,7
453,"סימן תנ""ג","דיני החיטים, וטחינתם למצות",9,OC,ובו ט' סעיפים,9,9
454,"סימן תנ""ד",באיזה מצה אינו יוצא ידי חובתו,4,OC,ובו ד' סעיפים,4,4
455,"סימן תנ""ה","דין ""מים שלנו""",6,OC,ובו ו' סעיפים,6,6
456,"סימן תנ""ו",דין שיעור כמות לישת המצות,3,OC,ובו ג' סעיפים,3,3
457,"סימן תנ""ז",דין הנהגת החלה בעיסת מצה,2,OC,ובו ב' סעיפים,2,2
458,"סימן תנ""ח",דין מצווה ללוש המצה בערב פסח,1,OC,ובו סעיף אחד,1,1
459,"סימן תנ""ט",דין מקום וסדר לישת המצות,6,OC,ובו ו' סעיפים,6,6
460,"סימן ת""ס",דיני מצת המצווה,7,OC,ובו ז' סעיפים,7,7
461,"סימן תס""א",דיני אפיית המצה,5,OC,ובו ה' סעיפים,5,5
462,"סימן תס""ב",דין מי פירות אם מחמיצין,7,OC,ובו ז' סעיפים,7,7
463,"סימן תס""ג","אם מותר לחרוך שני שיבלים יחד, ודיני כרמל",3,OC,ובו ג' סעיפים,3,3
464,"סימן תס""ד",חרדל שנתערב בתוכו קמח,1,OC,ובו סעיף אחד,1,1
465,"סימן תס""ה",דיני מורסן בפסח,3,OC,ובו ג' סעיפים,3,3
466,"סימן תס""ו",אם הרוק ומי רגלים ודומיו מחמיצים,6,OC,ובו ו' סעיפים,6,6
467,"סימן תס""ז","דין חיטים שנפל עליהם מים, ותבשיל שנמצא לתוכו חיטה",16,OC,"ובו ט""ז סעיפים",16,16
468,"סימן תס""ח",שלא לעשות מלאכה בערב פסח אחר חצות,10,OC,ובו י' סעיפים,10,10
469,"סימן תס""ט",שלא לייחד בשר לפסח,1,OC,ובו סעיף אחד,1,1
470,"סימן ת""ע",שהבכורות מתענין בערב פסח,3,OC,ובו ג' סעיפים,3,3
471,"סימן תע""א",בערב פסח אחר שעה עשירית – אסור לאכול פת,3,OC,ובו ג' סעיפים,3,3
472,"סימן תע""ב",דיני הסיבה וארבע כוסות,16,OC,"ובו ט""ז סעיפים",16,16
473,"סימן תע""ג","דיני כוס ראשון, וסדר הפסח עד כוס השני",7,OC,ובו ז' סעיפים,7,7
474,"סימן תע""ד",על כוס שני אין מברכין,1,OC,ובו סעיף אחד,1,1
475,"סימן תע""ה",יתר דיני הסדר,7,OC,ובו ז' סעיפים,7,7
476,"סימן תע""ו",מנהג אכילת צלי בליל פסח,2,OC,ובו ב' סעיפים,2,2
477,"סימן תע""ז",דיני אכילת האפיקומן,2,OC,ובו ב' סעיפים,2,2
478,"סימן תע""ח",שלא לאכול אחר אכילת האפיקומן,2,OC,ובו ב' סעיפים,2,2
479,"סימן תע""ט",ברכת המזון על כוס שלישי,1,OC,ובו סעיף אחד,1,1
480,"סימן ת""פ",סדר כוס רביעי,1,OC,ובו סעיף אחד,1,1
481,"סימן תפ""א",שלא לשתות אחר ארבע כוסות,2,OC,ובו ב' סעיפים,2,2
482,"סימן תפ""ב",מי שאין לו מצה שמורה,1,OC,ובו סעיף אחד,1,1
483,"סימן תפ""ג",דין מי שאין לו יין,1,OC,ובו סעיף אחד,1,1
484,"סימן תפ""ד",דין מי שרוצה לעשות הסדר בהרבה בתים,1,OC,ובו סעיף אחד,1,1
485,"סימן תפ""ה",דין מי שנשבע שלא לאכול מצה,1,OC,ובו סעיף אחד,1,1
486,"סימן תפ""ו",שיעור כזית,1,OC,ובו סעיף אחד,1,1
487,"סימן תפ""ז",סדר תפילת ערבית של פסח,4,OC,ובו ד' סעיפים,4,4
488,"סימן תפ""ח",סדר תפילת שחרית של פסח,3,OC,ובו ג' סעיפים,3,3
489,"סימן תפ""ט",סדר תפילת ליל שני של פסח וספירת העומר,10,OC,ובו י' סעיפים,10,10
490,"סימן ת""צ","סדר תפילת יום שני, ותפילת חולו של מועד",9,OC,ובו ט' סעיפים,9,9
491,"סימן תצ""א",סדר הבדלה במוצאי יום טוב,2,OC,ובו ב' סעיפים,2,2
492,"סימן תצ""ב",דין תענית שני וחמישי ושני אחר המועדים,1,OC,ובו סעיף אחד,1,1
493,"סימן תצ""ג",דינים הנוהגים בימי העומר,4,OC,ובו ד' סעיפים,4,4
494,"סימן תצ""ד",סדר תפילת חג השבועות,3,OC,ובו ג' סעיפים,3,3
495,"סימן תצ""ה",איזה מלאכות אסורים ביום טוב,4,OC,ובו ד' סעיפים,4,4
496,"סימן תצ""ו",דיני יום טוב שני של גלויות,3,OC,ובו ג' סעיפים,3,3
497,"סימן תצ""ז",דיני הכנה ביום טוב,17,OC,"ובו י""ז סעיפים",17,17
498,"סימן תצ""ח",דיני שחיטה ביום טוב,20,OC,ובו כ' סעיפים,20,20
499,"סימן תצ""ט",דין מליגה ומליחה ביום טוב,5,OC,ובו ה' סעיפים,5,5
500,"סימן ת""ק","דין הנצרך לבשר ביום טוב היאך יתנהג, וסדר מליחתו",6,OC,ובו ו' סעיפים,6,6
501,"סימן תק""א",עצים האסורים והמותרים ביום טוב,7,OC,ובו ז' סעיפים,7,7
502,"סימן תק""ב",דיני האש ביום טוב,4,OC,ובו ד' סעיפים,4,4
503,"סימן תק""ג",שלא להכין מיום טוב לחברו,2,OC,ובו ב' סעיפים,2,2
504,"סימן תק""ד",דין התבלין ביום טוב,4,OC,ובו ד' סעיפים,4,4
505,"סימן תק""ה",דין החולב בהמה ביום טוב,1,OC,ובו סעיף אחד,1,1
506,"סימן תק""ו",דיני לישה ביום טוב,9,OC,ובו ט' סעיפים,9,9
507,"סימן תק""ז",דין אפייה ביום טוב,7,OC,ובו ז' סעיפים,7,7
508,"סימן תק""ח",דברים האסורים ביום טוב להכנת צלי,2,OC,ובו ב' סעיפים,2,2
509,"סימן תק""ט",כמה דינים פרטיים להלכות יום טוב,7,OC,ובו ז' סעיפים,7,7
510,"סימן תק""י","כמה דברים האסורים לעשות ביום טוב, ואיזו מהם מותרים על ידי שינוי",11,OC,"ובו י""א סעיפים",11,11
511,"סימן תקי""א",הבערה ולהחם מים – מותר ביום טוב,4,OC,ובו ד' סעיפים,4,4
512,"סימן תקי""ב",שלא לבשל לצורך כותים ביום טוב,3,OC,ובו ג' סעיפים,3,3
513,"סימן תקי""ג",דין ביצה שנולדה ביום טוב,8,OC,ובו ח' סעיפים,8,8
514,"סימן תקי""ד",שלא לכבות ביום טוב,11,OC,"ובו י""א סעיפים",11,11
515,"סימן תקט""ו",דין דברים הבאים ביום טוב חוץ לתחום,9,OC,ובו ט' סעיפים,9,9
516,"סימן תקט""ז",דין איזה דברים מותרים לשלוח ביום טוב,3,OC,ובו ג' סעיפים,3,3
517,"סימן תקי""ז",באיזה אופן מותר ליקח ביום טוב מן החנווני מיני מאכל,4,OC,ובו ד' סעיפים,4,4
518,"סימן תקי""ח",דיני הוצאה מרשות לרשות ביום טוב,9,OC,ובו ט' סעיפים,9,9
519,"סימן תקי""ט",צירי דלתות – מותר להסיר ולהחזיר לצורך יום טוב,5,OC,ובו ה' סעיפים,5,5
520,"סימן תק""כ",לכבד הבית,1,OC,ובו סעיף אחד,1,1
521,"סימן תקכ""א",דין שלשול פירות ביום טוב ממקום למקום,3,OC,ובו ג' סעיפים,3,3
522,"סימן תקכ""ב",קצת דברים האסורים לטלטל ביום טוב,4,OC,ובו ד' סעיפים,4,4
523,"סימן תקכ""ג",דינים הנוהגין בבהמות ביום טוב,4,OC,ובו ד' סעיפים,4,4
524,"סימן תקכ""ד",כמה דברים האסורים ביום טוב,2,OC,ובו ב' סעיפים,2,2
525,"סימן תקכ""ה",דין הלוואה ביום טוב,2,OC,ובו ב' סעיפים,2,2
